Date,Open,High,Low,Close,Volume
2016-01-04,2889.23,2890.21,2824.94,2835.97,202487504
2016-01-05,2836.8,2846.27,2820.42,2834.23,235761904
2016-01-06,2838.56,2844.06,2800.78,2804.27,248137296
2016-01-07,2797.18,2797.59,2726.92,2729.91,460824000
2016-01-08,2710.33,2760.89,2697.94,2751.23,461972288
2016-01-11,2725.1,2726.56,2690.26,2708.85,325848512
2016-01-12,2709.57,2721.47,2687.91,2691.78,291899104
2016-01-13,2712.69,2717.36,2670.4,2696.5,291286208
2016-01-14,2655.05,2663.51,2642.01,2644.57,302278688
2016-01-15,2656.87,2663.34,2626.81,2630.76,263746304
2016-01-18,2593.6,2604.4,2578.09,2593,279297888
2016-01-19,2585.99,2638.47,2582.31,2638.47,331565088
2016-01-20,2612.53,2616.36,2557.84,2559.77,320155968
2016-01-21,2581.11,2601.56,2529.01,2532.7,355033952
2016-01-22,2578.99,2595.01,2549.44,2577.09,393464096
2016-01-25,2601.84,2622.33,2580.36,2582.64,300185152
2016-01-26,2565.81,2576.76,2539.74,2545.61,252772096
2016-01-27,2579.14,2584.06,2546.18,2546.18,277086784
2016-01-28,2541.57,2563.82,2540.71,2562.45,239983504
2016-01-29,2569.76,2629.11,2553.78,2629.11,414496608
2016-02-01,2637.05,2644.68,2597.06,2602.41,378638720
2016-02-02,2587.23,2602.36,2578.27,2579.23,314873216
2016-02-03,2551.23,2558.66,2528.44,2550.74,283684704
2016-02-04,2561.91,2579.18,2554.08,2558.49,276667296
2016-02-05,2569.08,2623.21,2568.38,2623.21,362363072
2016-02-10,2559.64,2582.87,2538.79,2582.1,369871200
2016-02-11,2556.52,2572.01,2537.11,2538.28,288831712
2016-02-12,2536.55,2555.53,2531.79,2539.95,329703616
2016-02-15,2565.95,2613.44,2561.44,2607.9,375507808
2016-02-16,2602.83,2656.33,2585.53,2644.58,386540704
2016-02-17,2652.55,2654.91,2607.15,2613.79,379890400
2016-02-18,2646.68,2668.22,2643.09,2657.57,448232544
2016-02-19,2660.62,2661.44,2642.84,2656.87,272948704
2016-02-22,2653.79,2669.38,2652.92,2660.65,303240800
2016-02-23,2680.04,2684.79,2665.06,2672.07,369432512
2016-02-24,2654.65,2661.58,2614.49,2619.96,417016608
2016-02-25,2639.98,2642.86,2588.83,2603.4,284744608
2016-02-26,2626.63,2653.74,2618.36,2649.38,294221312
2016-02-29,2666.07,2667.83,2638.75,2666.51,341817600
2016-03-01,2666.71,2682.39,2654.98,2682.39,344114048
2016-03-02,2718.27,2738.57,2713.14,2726.96,357641728
2016-03-03,2735.42,2787.62,2735.42,2787.62,534012992
2016-03-04,2792.96,2837,2791.82,2837,532237408
2016-03-07,2843.66,2850.52,2809.72,2823.51,475889408
2016-03-08,2821.99,2826.75,2773.19,2778.77,384331008
2016-03-09,2783.64,2813.64,2770.26,2810.43,387755296
2016-03-10,2828.14,2829.07,2798.7,2809.12,247779008
2016-03-11,2807.94,2830.47,2789.63,2828.86,252990016
2016-03-14,2849.41,2867.2,2841.51,2847.06,237822704
2016-03-15,2851.92,2857.3,2828.68,2839.44,217646800
2016-03-16,2845.09,2854.87,2833.08,2844.21,200375808
2016-03-17,2872.13,2884.4,2865.81,2880.17,319494400
2016-03-18,2894.63,2906.8,2886.57,2906.8,425346016
2016-03-21,2905.49,2906.26,2867.01,2880.69,189147328
2016-03-22,2884.84,2901.34,2868.95,2880.65,284848992
2016-03-23,2888.67,2895.97,2874.15,2881.98,261404176
2016-03-24,2867.64,2869.81,2840.53,2847.39,230834208
2016-03-28,2848.72,2855.12,2821.58,2830.29,144035600
2016-03-29,2836.42,2836.85,2816.52,2819.08,193657600
2016-03-30,2844.91,2874.26,2840.82,2872.78,282140000
2016-03-31,2832.63,2855.45,2831.11,2840.9,283030496
2016-04-01,2829.83,2834.62,2808.02,2818.49,222024992
2016-04-04,2826.42,2846.09,2817.51,2835.35,158708704
2016-04-05,2810.54,2814.5,2783.73,2800.92,238260800
2016-04-06,2793.71,2817.41,2791.02,2811.25,198029200
2016-04-07,2817.8,2835.32,2809.56,2813.59,163929104
2016-04-08,2791.14,2809.11,2783.84,2808.32,161923600
2016-04-11,2797.36,2817.56,2794.15,2809.24,160293696
2016-04-12,2810.73,2815.89,2802.65,2814.65,138637296
2016-04-13,2841.07,2890.41,2839.34,2890.41,322826912
2016-04-14,2917.85,2924.24,2909.04,2913.93,273594240
2016-04-15,2917.16,2925.83,2905.06,2923.94,186228800
2016-04-18,2901.4,2917.75,2892.74,2917.75,176888192
2016-04-19,2931.98,2954.18,2930.83,2951.81,314517312
2016-04-20,2955.07,2959.59,2929.71,2949.95,224168000
2016-04-21,2952.13,2964.1,2941.7,2960.78,225726960
2016-04-22,2940.05,2946,2930.06,2940.43,235786800
2016-04-25,2930.61,2933.26,2886.25,2900.28,181396000
2016-04-26,2886.19,2899.11,2873.52,2894.66,215160096
2016-04-27,2883.15,2892.12,2870.28,2874.72,230473104
2016-04-28,2892.85,2900.25,2857.16,2862.3,257146352
2016-04-29,2857.62,2858.28,2834.62,2838.52,274973888
2016-05-03,2842.86,2848.9,2806.32,2811.2,217019600
2016-05-04,2786.35,2795.65,2761.93,2773.07,320259584
2016-05-05,2754.64,2773.43,2749.84,2767.81,250736000
2016-05-06,2747.06,2752.18,2722.6,2730.8,294710208
2016-05-09,2745.36,2766.06,2734.31,2766.06,238216304
2016-05-10,2746.47,2763.29,2736.18,2741.15,234014096
2016-05-11,2758.98,2763.45,2720.77,2732.87,301136896
2016-05-12,2729.14,2747.53,2723.92,2745.39,218359696
2016-05-13,2735.69,2738.61,2713.47,2734.91,263425104
2016-05-16,2726.31,2741.84,2721.7,2736.06,299825504
2016-05-17,2744.26,2788.65,2744.08,2781.11,366097312
2016-05-18,2764.11,2791.18,2759.5,2777.11,316596512
2016-05-19,2771.22,2775.45,2731.48,2740.11,342423904
2016-05-20,2744.38,2768.65,2738.03,2763.82,265124096
2016-05-23,2761.79,2775.37,2740.82,2766.93,173205600
2016-05-24,2760.74,2766.23,2742.65,2750.23,199460800
2016-05-25,2786.18,2790.3,2766.66,2766.66,180492320
2016-05-26,2783.85,2791.46,2772.23,2773.31,192407696
2016-05-27,2782.04,2805.63,2778.22,2802.51,217798224
2016-05-30,2796.15,2807.66,2786.95,2796.75,129522704
2016-05-31,2829.33,2834.04,2791.06,2791.06,421249408
2016-06-01,2787.99,2796.49,2778.65,2790.54,248867360
2016-06-02,2789.15,2806.1,2787.87,2795.09,209291104
2016-06-03,2808.51,2816.26,2803.53,2809.23,189175712
2016-06-06,2819.07,2833.79,2816.89,2831.28,168277696
2016-06-07,2844.8,2853.64,2840.12,2848.09,214033200
2016-06-08,2848.48,2867.1,2846.5,2862.38,189134304
2016-06-09,2871.79,2881.92,2843.8,2843.8,189507808
2016-06-10,2850.05,2851.53,2812.5,2822.97,193951808
2016-06-13,2786.35,2793.3,2771.86,2785.43,203217296
2016-06-14,2770.96,2789.06,2763.53,2768.33,171260704
2016-06-15,2760.8,2779.28,2759.02,2774.25,182306496
2016-06-16,2768.95,2770.99,2744.31,2751.56,249981152
2016-06-17,2770.63,2774.35,2748.65,2763.42,247384496
2016-06-20,2785.16,2802.25,2782.72,2800.87,165257648
2016-06-21,2801.74,2809.2,2788.64,2789.45,181680096
2016-06-22,2797.33,2815.22,2786.13,2786.13,181313600
2016-06-23,2806.84,2810.44,2793.85,2793.85,150516896
2016-06-24,2807.71,2807.71,2715.76,2735.39,390205504
2016-06-27,2722.16,2750.27,2709.56,2729.85,255142640
2016-06-28,2705.07,2767.38,2703.48,2756.53,262929504
2016-06-29,2769.06,2801.48,2767.44,2792.73,232580848
2016-06-30,2880.72,2880.72,2831.72,2840.93,413568576
2016-07-01,2848.45,2850.18,2832.55,2846.37,197970000
2016-07-04,2855.36,2874.9,2842.32,2870.56,269548896
2016-07-05,2870.84,2873.67,2854.16,2864.67,197580704
2016-07-07,2859.81,2867.23,2854.21,2862.17,223207808
2016-07-08,2859.47,2862.23,2830,2847.04,174535392
2016-07-11,2882.28,2884.58,2868.8,2876.14,187370592
2016-07-12,2882.95,2901.82,2878.1,2901.82,220512432
2016-07-13,2914.79,2917.42,2899.92,2910.65,229019296
2016-07-14,2910.85,2913.65,2903.17,2906.92,74341600
2016-07-15,2932.35,2939.03,2915.15,2925.35,329168896
2016-07-18,2930.64,2941.15,2923.75,2928.76,260203920
2016-07-19,2927.51,2931.44,2902.41,2919.54,222193696
2016-07-20,2934.73,2953.13,2917.14,2945.74,320652896
2016-07-21,2946.37,2958.9,2936.46,2940.48,218449200
2016-07-22,2925.64,2945.35,2925.05,2945.35,195960608
2016-07-25,2951.34,2955.96,2929.85,2929.85,234100800
2016-07-26,2917.17,2934.02,2902.26,2933.44,258645696
2016-07-27,2935.58,2941.76,2924.85,2941.49,193361904
2016-07-28,2928.58,2928.85,2911.09,2918.62,172177904
2016-07-29,2887.35,2896.19,2865.66,2868.69,326726656
2016-08-01,2875.59,2898.27,2874.38,2892.52,351664512
2016-08-02,2869.94,2879.67,2847.98,2856.67,232749792
2016-08-03,2828.52,2839.43,2810.88,2827.58,234640368
2016-08-04,2839.11,2844.13,2826.35,2831.96,207853200
2016-08-05,2837.65,2839.36,2821.61,2828.17,244724400
2016-08-08,2850.86,2884.84,2849.07,2870.78,237224400
2016-08-10,2876.4,2893.34,2869.25,2875.57,255574640
2016-08-11,2858.6,2880.7,2853.29,2869.82,241068992
2016-08-12,2881.34,2883.16,2856.94,2867.4,202781504
2016-08-15,2857.72,2874.32,2855.82,2867.21,158966304
2016-08-16,2879.12,2880.71,2858.8,2858.8,200078000
2016-08-17,2855.57,2859.77,2841.46,2843.35,179631904
2016-08-18,2840.09,2849.54,2830.1,2836.98,192964400
